Country or Area,Subgroup,Year,Value
Grenada,Female,2004,7027
Grenada,Female,2003,7273
Grenada,Female,2002,7649
Grenada,Male,2005,6830
Grenada,Male,2004,6633
Grenada,Male,2003,7587
Grenada,Male,2002,6818
Guatemala,Female,2005,358880
Guatemala,Female,2004,331009
Guatemala,Female,2003,308608
Guatemala,Female,2002,286206
Guatemala,Female,2001,258239
Guatemala,Female,2000,236082
Guatemala,Female,1999,197825
Guatemala,Male,2005,395616
Guatemala,Male,2004,367552
Guatemala,Male,2003,344884
Guatemala,Male,2002,322214
Guatemala,Male,2001,289674
Guatemala,Male,2000,267802
Guatemala,Male,1999,237087
Guinea,Female,2005,141379
Guinea,Female,2004,109171
Guinea,Female,2003,96309
Guinea,Female,2002,81224
Guinea,Female,2001,67627
Guinea,Female,2000,54179
Guinea,Female,1999,44736
Guinea,Male,2005,282100
Guinea,Male,2004,239609
Guinea,Male,2003,214173
Guinea,Male,2002,197949
Guinea,Male,2001,172940
Guinea,Male,2000,148908
Guinea,Male,1999,127198
Guinea-Bissau,Female,2001,9410
Guinea-Bissau,Female,2000,9121
Guinea-Bissau,Male,2001,17133
Guinea-Bissau,Male,2000,16615
Guyana,Female,2005,35298
Guyana,Female,2004,35031
Guyana,Female,2002,34803
Guyana,Female,2001,36235
Guyana,Female,2000,34781
Guyana,Female,1999,33157
Guyana,Male,2005,35317
Guyana,Male,2004,33948
Guyana,Male,2002,34456
Guyana,Male,2001,35793
Guyana,Male,2000,34808
Guyana,Male,1999,33338
Honduras,Female,2005,308511
Honduras,Female,2004,302710
Honduras,Male,2005,257024
Honduras,Male,2004,252100
Hong Kong SAR,Female,2005,243873
Hong Kong SAR,Female,2004,240955
Hong Kong SAR,Female,2003,237755
Hong Kong SAR,Female,2002,237013
Hong Kong SAR,Female,2001,237489
Hong Kong SAR,Male,2005,254481
Hong Kong SAR,Male,2004,251824
Hong Kong SAR,Male,2003,249463
Hong Kong SAR,Male,2002,251524
Hong Kong SAR,Male,2001,252550
Hungary,Female,2005,467612
Hungary,Female,2004,469288
Hungary,Female,2003,504479
Hungary,Female,2002,497765
Hungary,Female,2001,494714
Hungary,Female,2000,492017
Hungary,Female,1999,496030
Hungary,Male,2005,492603
Hungary,Male,2004,493954
Hungary,Male,2003,525500
Hungary,Male,2002,515706
Hungary,Male,2001,512762
Hungary,Male,2000,509838
Hungary,Male,1999,510516
Iceland,Female,2005,16285
Iceland,Female,2004,16201
