Country or Area,Subgroup,Year,Value
Georgia,Male,2000,69628
Georgia,Male,1999,62506
Ghana,Female,2005,41783
Ghana,Female,2004,22059
Ghana,Female,2003,22344
Ghana,Female,2002,18992
Ghana,Female,2001,18282
Ghana,Female,2000,13646
Ghana,Male,2005,77776
Ghana,Male,2004,47909
Ghana,Male,2003,47949
Ghana,Male,2002,49397
Ghana,Male,2001,45816
Ghana,Male,2000,41012
Gibraltar,Female,2005,…
Gibraltar,Female,2004,…
Gibraltar,Female,2003,…
Gibraltar,Female,2002,…
Gibraltar,Female,2001,…
Gibraltar,Female,2000,…
Gibraltar,Female,1999,…
Gibraltar,Male,2005,…
Gibraltar,Male,2004,…
Gibraltar,Male,2003,…
Gibraltar,Male,2002,…
Gibraltar,Male,2001,…
Gibraltar,Male,2000,…
Gibraltar,Male,1999,…
Greece,Female,2005,330440
Greece,Female,2004,308697
Greece,Female,2003,286091
Greece,Female,2002,271230
Greece,Female,2001,244413
Greece,Female,2000,211087
Greece,Female,1999,194908
Greece,Male,2005,316147
Greece,Male,2004,288310
Greece,Male,2003,275377
Greece,Male,2002,258003
Greece,Male,2001,233792
Greece,Male,2000,211230
Greece,Male,1999,192951
Grenada,Female,2005,…
Grenada,Female,2004,…
Grenada,Female,2003,…
Grenada,Female,2002,…
Grenada,Female,2001,…
Grenada,Female,2000,…
Grenada,Female,1999,…
Grenada,Male,2005,…
Grenada,Male,2004,…
Grenada,Male,2003,…
Grenada,Male,2002,…
Grenada,Male,2001,…
Grenada,Male,2000,…
Grenada,Male,1999,…
Guatemala,Female,2003,49380
Guatemala,Female,2002,48078
Guatemala,Male,2003,65384
Guatemala,Male,2002,63661
Guinea,Female,2005,4435
Guinea,Female,2004,2693
Guinea,Female,2003,2637
Guinea,Male,2005,19353
Guinea,Male,2004,14525
Guinea,Male,2003,14221
Guinea-Bissau,Female,2001,74
Guinea-Bissau,Female,2000,72
Guinea-Bissau,Female,1999,78
Guinea-Bissau,Male,2001,399
Guinea-Bissau,Male,2000,391
Guinea-Bissau,Male,1999,421
Guyana,Female,2005,4917
Guyana,Female,2004,4524
Guyana,Male,2005,2361
Guyana,Male,2004,2409
Honduras,Female,2004,71999
Honduras,Female,2003,70265
Honduras,Female,2002,64763
Honduras,Female,2001,54212
Honduras,Female,2000,50850
Honduras,Female,1999,47373
Honduras,Male,2004,50875
Honduras,Male,2003,49612
Honduras,Male,2002,45726
Honduras,Male,2001,42400
Honduras,Male,2000,39770
Honduras,Male,1999,37627
Hong Kong SAR,Female,2005,77739
Hong Kong SAR,Female,2004,75662
Hong Kong SAR,Female,2003,73466
Hong Kong SAR,Male,2005,74555
Hong Kong SAR,Male,2004,72062
Hong Kong SAR,Male,2003,72573
Hungary,Female,2005,254657
Hungary,Female,2004,241753
Hungary,Female,2003,221363
Hungary,Female,2002,195854
Hungary,Female,2001,181062
Hungary,Female,2000,165404
Hungary,Female,1999,151471
Hungary,Male,2005,181355
Hungary,Male,2004,180424
Hungary,Male,2003,169090
Hungary,Male,2002,158532
Hungary,Male,2001,149487
Hungary,Male,2000,141667
Hungary,Male,1999,127926
Iceland,Female,2005,10020
Iceland,Female,2004,9491
Iceland,Female,2003,8497
Iceland,Female,2002,7322
Iceland,Female,2001,6383
Iceland,Female,2000,5985
Iceland,Female,1999,5260
Iceland,Male,2005,5509
Iceland,Male,2004,5219
Iceland,Male,2003,4850
Iceland,Male,2002,4262
Iceland,Male,2001,3801
Iceland,Male,2000,3682
Iceland,Male,1999,3202
India,Female,2005,4641576
India,Female,2004,4527606
India,Female,2003,4342409
India,Female,2002,4135343
India,Female,2001,3801494
India,Female,2000,3552026
India,Male,2005,7135720
India,Male,2004,7325330
India,Male,2003,6952632
India,Male,2002,6441310
India,Male,2001,6032552
India,Male,2000,5852434
Indonesia,Female,2005,1595396
Indonesia,Female,2004,1556231
Indonesia,Female,2003,1511088
Indonesia,Female,2002,1458354
Indonesia,Female,2001,1293089
Indonesia,Male,2005,2044874
Indonesia,Male,2004,1994861
Indonesia,Male,2003,1930341
Indonesia,Male,2002,1717479
Indonesia,Male,2001,1724798
Iran,Female,2005,1083664
Iran,Female,2004,1003920
Iran,Female,2003,869978
Iran,Female,2002,768433
Iran,Female,2001,743951
Iran,Female,2000,635973
Iran,Female,1999,568092
Iran,Male,2005,1042610
Iran,Male,2004,951000
Iran,Male,2003,844455
Iran,Male,2002,798076
Iran,Male,2001,825825
Iran,Male,2000,768907
Iran,Male,1999,740058
Iraq,Female,2005,153711
Iraq,Female,2004,149213
Iraq,Female,2002,108238
Iraq,Female,2000,98306
Iraq,Female,1999,92880
Iraq,Male,2005,271197
Iraq,Male,2004,263332
Iraq,Male,2002,209755
Iraq,Male,2000,190364
Iraq,Male,1999,178628
Ireland,Female,2005,102501
Ireland,Female,2004,103941
Ireland,Female,2003,101155
Ireland,Female,2002,97173
Ireland,Female,2001,91158
Ireland,Female,2000,86904
Ireland,Female,1999,80900
Ireland,Male,2005,84060
Ireland,Male,2004,84374
Ireland,Male,2003,80402
Ireland,Male,2002,79123
Ireland,Male,2001,75442
Ireland,Male,2000,73707
Ireland,Male,1999,70237
Israel,Female,2005,174092
Israel,Female,2004,168126
Israel,Female,2003,167738
Israel,Female,2002,169338
Israel,Female,2001,153654
Israel,Female,2000,146626
Israel,Female,1999,142182
Israel,Male,2005,136845
Israel,Male,2004,133101
Israel,Male,2003,133588
Israel,Male,2002,130378
Israel,Male,2001,117325
Israel,Male,2000,109265
Israel,Male,1999,104624
Italy,Female,2005,1139807
Italy,Female,2004,1116589
Italy,Female,2003,1076253
Italy,Female,2002,1042977
